Column,Coverage
CRC.SW.U0243.T,30430681
CRC.SW.U0244.T,27218402
CRC.SW.U0245.T,26160994
CRC.SW.U0246.T,25777518
CRC.SW.U0247.T,27866001
CRC.SW.U0248.T,23846327
CRC.SW.U0249.T,24824980
CRC.SW.U0250.T,31241513
CRC.SW.U0251.T,29193015
CRC.SW.U0252.T,28495279
CRC.SW.U0253.T,32003565
CRC.SW.U0254.N,23706375
CRC.SW.U0254.T,30864450
CRC.SW.U0255.T,34866564
CRC.SW.U0256.T,28919607
CRC.SW.U0257.T,30913261
CRC.SW.U0258.T,31876887
CRC.SW.U0259.T,31404044
CRC.SW.U0260.T,28968715
CRC.SW.U0262.T,29099533
CRC.SW.U0263.T,25428693
CRC.SW.U0264.T,29185285
CRC.SW.U0266.T,30973475
CRC.SW.U0267.T,26626821
CRC.SW.U0268.T,31193561
CRC.SW.U0269.T,28680372
CRC.SW.U0270.T,28746813
CRC.SW.U0271.T,25999428
CRC.SW.U0273.T,26958588
CRC.SW.U0274.T,29569573
CRC.SW.U0275.T,23986696
CRC.SW.U0276.T,28457490
CRC.SW.U0277.T,26702290
CRC.SW.U0278.T,26075596
CRC.SW.U0279.T,27761481
CRC.SW.U0280.T,22029476
CRC.SW.U0281.T,28327178
CRC.SW.U0282.T,22444540
CRC.SW.U0285.T,31241388
CRC.SW.U0287.T,31666689
CRC.SW.U0288.T,29294143
CRC.SW.U0289.N,24449352
CRC.SW.U0289.T,27833094
CRC.SW.U0290.N,25575767
CRC.SW.U0290.T,29929681
CRC.SW.U0291.T,29446287
CRC.SW.U0292.T,27999516
CRC.SW.U0293.T,30782089
CRC.SW.U0294.T,29451786
CRC.SW.U0295.T,25724947
CRC.SW.U0296.T,30549187
CRC.SW.U0297.T,26996985
CRC.SW.U0298.T,27725652
CRC.SW.U0299.N,24981096
CRC.SW.U0299.T,27737982
CRC.SW.U0300.T,31595996
CRC.SW.U0302.T,33117908
CRC.SW.U0303.T,37445466
CRC.SW.U0304.T,27708277
CRC.SW.U0305.T,27664812
CRC.SW.U0306.T,29188635
CRC.SW.U0307.T,31567229
CRC.SW.U0308.N,26502338
CRC.SW.U0308.T,28446910
CRC.SW.U0309.T,28055316
CRC.SW.U0311.T,33950794
CRC.SW.U0312.T,21555128
CRC.SW.U0313.T,21857123
CRC.SW.U0314.T,30829054
CRC.SW.U0315.T,28072918
CRC.SW.U0316.T,29844913
CRC.SW.U0317.T,30651763
CRC.SW.U0318.T,27800061
